,Protein ID,Protein Descrip,Carbo1 ID,Carbo1 Descrip,Carbo2 ID,Carbo2 Descrip,Vege ID,Vege Descrip,Fruit ID,Fruit Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g
18,7967.0,"Pork sausage, link/patty, fully cooked, unheated",11609.0,"Beets, pickled, canned, solids and liquids",11726.0,"Beans, snap, green, canned, no salt added, solids and liquids",11119.0,"Cabbage, chinese (pe-tsai), raw",9028.0,"Apricots, canned, heavy syrup pack, without skin, solids and liquids",571.0,16.770000000000003,37.720000000000006,45.150000000000006,15.53
19,1092.0,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",11924.0,"Soybeans, mature seeds, sprouted, cooked, stir-fried, with salt",9150.0,"Lemons, raw, without peel",11238.0,"Mushrooms, shiitake, raw",9252.0,"Pears, raw",603.0,51.900000000000006,8.75,92.93,66.82
20,15089.0,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",18242.0,"Croutons, plain",9120.0,"Grapefruit, sections, canned, juice pack, solids and liquids",11220.0,"Gourd, dishcloth (towelgourd), raw",9316.0,"Strawberries, raw",681.0,35.330000000000005,17.639999999999997,95.28,16.14
21,1046.0,"Cheese food, pasteurized process, American, vitamin D fortified",11831.0,"Potatoes, boiled, cooked in skin, flesh, with salt",11352.0,"Potatoes, flesh and skin, raw",11359.0,"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, as purchased",9150.0,"Lemons, raw, without peel",673.0,24.19,31.110000000000003,79.44,9.95
22,7961.0,"Chicken breast, deli, rotisserie seasoned, sliced, prepackaged",43274.0,"Cheese, cream, low fat",42303.0,"Cheese, muenster, low fat",11349.0,Poi,9211.0,"Orange juice, chilled, includes from concentrate, with added calcium",729.0,51.010000000000005,35.0,53.05,18.770000000000003
23,17377.0,"Lamb, New Zealand, imported, testes, raw",18190.0,"Cookies, peanut butter sandwich, regular",11080.0,"Beets, raw",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",9272.0,"Pineapple, frozen, chunks, sweetened",756.0,24.76,24.420000000000005,116.8,66.37
24,5215.0,"Turkey, back, from whole bird, non-enhanced, meat only, raw",18317.0,"Pie, egg custard, commercially prepared",11400.0,"Potatoes, frozen, whole, unprepared",11286.0,"Onions, yellow, sauteed",9420.0,"Jackfruit, canned, syrup pack",625.0,30.47,25.200000000000003,70.22,12.459999999999999
25,15270.0,"Crustaceans, shrimp, untreated, raw",9293.0,"Plums, dried (prunes), stewed, with added sugar",28256.0,"AUSTIN, Peanut Butter on Cheese Crackers, sandwich-type",11497.0,"Succotash, (corn and limas), canned, with cream style corn",9124.0,"Grapefruit juice, white, canned, sweetened",824.0,35.21,25.86,120.61999999999999,20.03
26,7206.0,OSCAR MAYER. Bologna (Wisconsin made ring),18150.0,"Cookies, animal crackers (includes arrowroot, tea biscuits)",18243.0,"Croutons, seasoned",11892.0,"Turnip greens, frozen, cooked, boiled, drained, with salt",9106.0,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",1341.0,33.18,60.980000000000004,167.95,30.66
27,17200.0,"Lamb, variety meats and by-products, liver, cooked, braised",1281.0,"Yogurt, Greek, non fat, strawberry, CHOBANI",28167.0,"KELLOGG'S, POP-TARTS, Frosted Cinnamon Roll Toaster Pastries",11248.0,"Lentils, sprouted, raw",9135.0,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",882.0,52.63,23.71,118.85999999999999,51.260000000000005
28,17203.0,"Veal, variety meats and by-products, liver, cooked, braised",11889.0,"Turnips, cooked, boiled, drained, with salt",11266.0,"Mushrooms, brown, italian, or crimini, raw",11018.0,"Asparagus, frozen, unprepared",9195.0,"Olives, pickled, canned or bottled, green",405.0,35.89,21.990000000000002,21.069999999999997,5.25
29,15268.0,"Fish, cod, Pacific, untreated, raw",20499.0,"Macaroni, dry, unenriched",11950.0,"Mushrooms, enoki, raw",11921.0,"Peppers, sweet, red, sauteed",9286.0,"Pomegranates, raw",696.0,35.949999999999996,15.92,107.75000000000001,20.84
30,1227.0,"Cheese, dry white, queso seco",11050.0,"Beans, shellie, canned, solids and liquids",11802.0,"New zealand spinach, cooked, boiled, drained, with salt",11096.0,"Broccoli raab, raw",9149.0,"Kumquats, raw",460.0,32.620000000000005,26.060000000000002,29.11,11.17
31,23315.0,"Beef, Australian, grass-fed, loin, top sirloin cap-off steak/roast, boneless, separable lean and fat, raw",11891.0,"Turnip greens, cooked, boiled, drained, with salt",1092.0,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",11236.0,"Kale, frozen, cooked, boiled, drained, without salt",9211.0,"Orange juice, chilled, includes from concentrate, with added calcium",582.0,61.53000000000001,6.010000000000001,73.05999999999999,62.370000000000005
32,15017.0,"Fish, cod, Atlantic, canned, solids and liquid",11474.0,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",1077.0,"Milk, whole, 3.25% milkfat, with added vitamin D",11476.0,"Squash, summer, scallop, cooked, boiled, drained, without salt",9434.0,"Guanabana nectar, canned",266.0,28.330000000000002,4.65,28.57,21.95
33,5040.0,"Chicken, broilers or fryers, light meat, meat only, cooked, fried",18432.0,"Bread, white, commercially prepared, toasted, low sodium no salt",11447.0,"Sesbania flower, raw",11850.0,"Radishes, oriental, cooked, boiled, drained, with salt",9322.0,"Tamarinds, raw",768.0,46.57,10.419999999999998,127.48,40.629999999999995
34,1237.0,"Ice cream, bar or stick, chocolate covered",9514.0,"Juice Smoothie, BOLTHOUSE FARMS, BERRY BOOST",11585.0,"Vegetable juice cocktail, low sodium, canned",11092.0,"Broccoli, frozen, chopped, unprepared",9517.0,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",470.0,8.569999999999999,24.900000000000002,55.5,41.230000000000004
35,15027.0,"Fish, fish sticks, frozen, prepared",11908.0,"Corn, sweet, white, canned, vacuum pack, regular pack",9119.0,"Grapefruit, sections, canned, water pack, solids and liquids",11050.0,"Beans, shellie, canned, solids and liquids",9514.0,"Juice Smoothie, BOLTHOUSE FARMS, BERRY BOOST",468.0,16.39,17.040000000000003,67.34,20.330000000000002
36,17172.0,"Game meat, moose, raw",18247.0,"Danish pastry, nut (includes almond, raisin nut, cinnamon nut)",11585.0,"Vegetable juice cocktail, low sodium, canned",11037.0,"Lima beans, immature seeds, frozen, fordhook, unprepared",9316.0,"Strawberries, raw",689.0,37.32,26.91,77.03999999999999,34.96
37,13320.0,"Beef, variety meats and by-products, brain, cooked, simmered",1043.0,"Cheese, pasteurized process, pimento",1281.0,"Yogurt, Greek, non fat, strawberry, CHOBANI",11400.0,"Potatoes, frozen, whole, unprepared",9507.0,"Juice Smoothie, NAKED JUICE, MIGHTY MANGO",747.0,44.63,42.00999999999999,47.3,24.759999999999998
38,17421.0,"Lamb, New Zealand, imported, tunnel-boned leg, chump off, shank off, separable lean and fat, cooked, slow roasted",18068.0,"Bread, wheat germ",18050.0,"Bread, reduced-calorie, oat bran, toasted",11409.0,"Potatoes, frozen, french fried, par fried, extruded, prepared, heated in oven, without salt",9273.0,"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",1094.0,46.419999999999995,38.21,150.08,17.91
39,17434.0,"Veal, seam fat only, cooked",28063.0,"KEEBLER, CLUB, Buttery Garlic Crackers",11830.0,"Potatoes, baked, skin, with salt",11056.0,"Beans, snap, green, canned, regular pack, drained solids",9301.0,"Rambutan, canned, syrup pack",1295.0,22.72,73.43999999999998,139.06,10.78
40,10861.0,"Pork, cured, bacon, cooked, microwaved",18022.0,"Bread, cornbread, dry mix, enriched (includes corn muffin mix)",11813.0,"Peas, green, canned, no salt added, drained solids",11674.0,"Potatoes, baked, flesh and skin, without salt",9119.0,"Grapefruit, sections, canned, water pack, solids and liquids",1092.0,53.51,46.9,112.86000000000001,34.43
41,23185.0,"Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, select, raw",11831.0,"Potatoes, boiled, cooked in skin, flesh, with salt",11906.0,"Corn, sweet, white, canned, cream style, regular pack",11467.0,"Squash, summer, crookneck and straightneck, raw",9055.0,"Blueberries, frozen, sweetened",486.0,24.73,16.65,64.78,25.68
42,5292.0,"Turkey patties, breaded, battered, fried",18002.0,"Bagels, plain, toasted, enriched, with calcium propionate (includes onion, poppy, sesame)",20046.0,"Rice, white, long-grain, parboiled, enriched, dry",11762.0,"Cauliflower, frozen, cooked, boiled, drained, with salt",9507.0,"Juice Smoothie, NAKED JUICE, MIGHTY MANGO",1025.0,34.68,20.97,171.85999999999999,19.43
43,5063.0,"Chicken, broilers or fryers, breast, meat only, cooked, fried",18002.0,"Bagels, plain, toasted, enriched, with calcium propionate (includes onion, poppy, sesame)",28125.0,"KEEBLER, SANDIES, Chocolate Chip & Pecan Shortbread Cookies",11236.0,"Kale, frozen, cooked, boiled, drained, without salt",9013.0,"Apples, dried, sulfured, stewed, with added sugar",1134.0,53.22,39.09,142.78,33.660000000000004
44,7040.0,"Liver cheese, pork",1010.0,"Cheese, cheshire",11794.0,"Lambs quarters, cooked, boiled, drained, with salt",11119.0,"Cabbage, chinese (pe-tsai), raw",9507.0,"Juice Smoothie, NAKED JUICE, MIGHTY MANGO",802.0,43.39000000000001,57.10000000000001,30.11,14.53
45,1260.0,"Cheese, cheddar, reduced fat",20628.0,"Wheat flour, white (industrial), 10% protein, bleached, enriched",18215.0,"Crackers, cheese, sandwich-type with peanut butter filling",11248.0,"Lentils, sprouted, raw",9445.0,"Kiwifruit, gold, raw",1337.0,59.66,48.120000000000005,173.39000000000001,18.71
46,1035.0,"Cheese, provolone",11788.0,"Hyacinth-beans, immature seeds, cooked, boiled, drained, with salt",1227.0,"Cheese, dry white, queso seco",11791.0,"Kale, frozen, cooked, boiled, drained, with salt",9073.0,"Cherries, sweet, canned, light syrup pack, solids and liquids",823.0,56.489999999999995,51.88,35.9,18.24
47,7909.0,"Luncheon meat, pork and chicken, minced, canned, includes SPAM Lite",11362.0,"Potatoes, raw, skin",9124.0,"Grapefruit juice, white, canned, sweetened",11567.0,"Turnips, frozen, cooked, boiled, drained, without salt",9273.0,"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",376.0,20.27,14.45,42.14,24.619999999999997
48,5001.0,"Chicken, broilers or fryers, meat and skin and giblets and neck, raw",11358.0,"Potatoes, red, flesh and skin, baked",1006.0,"Cheese, brie",11738.0,"Broadbeans, immature seeds, cooked, boiled, drained, with salt",9119.0,"Grapefruit, sections, canned, water pack, solids and liquids",734.0,46.75999999999999,43.26,39.419999999999995,10.629999999999999
49,17203.0,"Veal, variety meats and by-products, liver, cooked, braised",18400.0,"Crackers, matzo, egg and onion",1229.0,"Cheese, white, queso blanco",11151.0,"Chicory, witloof, raw",9507.0,"Juice Smoothie, NAKED JUICE, MIGHTY MANGO",973.0,60.12,34.57,102.39999999999999,14.26
50,10895.0,"Pork, cured, ham, separable fat, boneless, unheated",18278.0,"Muffins, blueberry, prepared from recipe, made with low fat (2%) milk",11174.0,"Corn, sweet, yellow, canned, cream style, regular pack",11198.0,"Cowpeas, young pods with seeds, cooked, boiled, drained, without salt",9270.0,"Pineapple, canned, heavy syrup pack, solids and liquids",984.0,18.69,64.63,87.9,20.57
51,1031.0,"Cheese, neufchatel",11645.0,"Sweet potato, canned, syrup pack, solids and liquids",1001.0,"Butter, salted",11609.0,"Beets, pickled, canned, solids and liquids",9270.0,"Pineapple, canned, heavy syrup pack, solids and liquids",1202.0,12.13,104.28,61.06,49.13999999999999
52,43378.0,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",28251.0,"SUNSHINE, CHEEZ-IT, 100 Calorie Right Bites, Reduced Fat",11286.0,"Onions, yellow, sauteed",11147.0,"Chard, swiss, raw",9415.0,"Pears, raw, green anjou",1210.0,53.53,67.48,95.82,11.63
53,7235.0,"OSCAR MAYER, Smokies Sausage Little (pork, turkey)",9011.0,"Apples, dried, sulfured, uncooked",1224.0,"Protein supplement, milk based, Muscle Milk Light, powder",11632.0,"Peppers, jalapeno, canned, solids and liquids",9150.0,"Lemons, raw, without peel",996.0,65.35,40.66,103.75,67.22999999999999
54,7927.0,"Sausage, Italian, turkey, smoked",1193.0,KRAFT BREAKSTONE'S Reduced Fat Sour Cream,1227.0,"Cheese, dry white, queso seco",11813.0,"Peas, green, canned, no salt added, drained solids",9075.0,"Cherries, sweet, canned, extra heavy syrup pack, solids and liquids",806.0,49.07000000000001,45.6,52.0,14.310000000000002
55,7028.0,"Ham, sliced, packaged (96% fat free, water added)",1178.0,"Sour cream, reduced fat",11182.0,"Corn, yellow, whole kernel, frozen, microwaved",11762.0,"Cauliflower, frozen, cooked, boiled, drained, with salt",9237.0,"Peaches, canned, water pack, solids and liquids",455.0,29.57,19.2,43.11,8.93
56,23108.0,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean and fat, trimmed to 0"" fat, all grades, raw",20002.0,"Amaranth grain, cooked",20499.0,"Macaroni, dry, unenriched",11458.0,"Spinach, cooked, boiled, drained, without salt",9106.0,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",766.0,39.129999999999995,15.05,120.24,3.1
57,7279.0,HORMEL WRANGLER Beef Franks,11632.0,"Peppers, jalapeno, canned, solids and liquids",1226.0,"Egg substitute, liquid or frozen, fat free",11645.0,"Sweet potato, canned, syrup pack, solids and liquids",9011.0,"Apples, dried, sulfured, uncooked",697.0,25.41,27.150000000000002,95.67,78.4
58,1092.0,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",11767.0,"Chrysanthemum, garland, cooked, boiled, drained, with salt",11567.0,"Turnips, frozen, cooked, boiled, drained, without salt",11660.0,"Tomatoes, red, ripe, cooked, stewed",9503.0,"Apples, raw, gala, with skin",537.0,40.480000000000004,3.85,87.58000000000001,66.92
59,7215.0,"OSCAR MAYER, Ham (water added, honey)",9056.0,"Boysenberries, canned, heavy syrup",20001.0,"Amaranth grain, uncooked",11726.0,"Beans, snap, green, canned, no salt added, solids and liquids",9309.0,"Rhubarb, frozen, uncooked",606.0,32.599999999999994,10.85,99.25999999999999,5.890000000000001
60,7952.0,"Bologna, chicken, turkey, pork",9507.0,"Juice Smoothie, NAKED JUICE, MIGHTY MANGO",18630.0,"PILLSBURY, Chocolate Chip Cookies, refrigerated dough",11244.0,"Lambsquarters, raw",9195.0,"Olives, pickled, canned or bottled, green",999.0,19.35,63.559999999999995,92.54,50.71
61,5722.0,"Turkey, retail parts, thigh, meat only, cooked, roasted",18082.0,"Bread stuffing, bread, dry mix, prepared",18567.0,"KRAFT, STOVE TOP Stuffing Mix Chicken Flavor",11122.0,"Cardoon, raw",9150.0,"Lemons, raw, without peel",763.0,42.74,19.35,108.64999999999998,14.709999999999999
62,1266.0,"Cheese, Swiss, nonfat or fat free",11400.0,"Potatoes, frozen, whole, unprepared",18974.0,"KASHI, TLC, Honey Sesame Crackers",11238.0,"Mushrooms, shiitake, raw",9057.0,"Boysenberries, frozen, unsweetened",687.0,42.82,11.31,112.05,27.48
63,7279.0,HORMEL WRANGLER Beef Franks,20049.0,"Rice, white, long-grain, precooked or instant, enriched, prepared",28216.0,"MURRAY, Old Fashioned Iced Oatmeal Cookies",11467.0,"Squash, summer, crookneck and straightneck, raw",9195.0,"Olives, pickled, canned or bottled, green",1037.0,21.8,59.28,107.59,37.59
64,7232.0,"OSCAR MAYER, Smokie Links Sausage",11969.0,"Broccoli, chinese, cooked",11219.0,"Gourd, white-flowered (calabash), cooked, boiled, drained, without salt",11497.0,"Succotash, (corn and limas), canned, with cream style corn",9135.0,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",476.0,17.150000000000002,28.709999999999997,41.58,16.64
65,1059.0,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",9075.0,"Cherries, sweet, canned, extra heavy syrup pack, solids and liquids",11407.0,"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, oven-heated",11191.0,"Cowpeas (blackeyes), immature seeds, raw",9028.0,"Apricots, canned, heavy syrup pack, without skin, solids and liquids",556.0,10.819999999999999,12.249999999999998,105.28,3.0
66,43276.0,"Cheese spread, cream cheese base",11191.0,"Cowpeas (blackeyes), immature seeds, raw",11407.0,"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, oven-heated",11244.0,"Lambsquarters, raw",9017.0,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",812.0,18.200000000000003,38.32,104.66,45.33
67,10888.0,"Pork, cured, ham and water product, slice, bone-in, separable lean only, unheated",11585.0,"Vegetable juice cocktail, low sodium, canned",11777.0,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with salt",11981.0,"Peppers, hungarian, raw",9316.0,"Strawberries, raw",277.0,20.020000000000003,5.1899999999999995,40.760000000000005,15.370000000000001
68,23272.0,"Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",18969.0,"Cream puff, eclair, custard or cream filled, iced",28191.0,"KELLOGG'S, SPECIAL K, Savory Herb Crackers",11790.0,"Kale, cooked, boiled, drained, with salt",9021.0,"Apricots, raw",1015.0,47.379999999999995,38.51,128.15,43.14
69,7952.0,"Bologna, chicken, turkey, pork",11096.0,"Broccoli raab, raw",18420.0,"Cake, yellow, dry mix, regular, unenriched",11400.0,"Potatoes, frozen, whole, unprepared",9135.0,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",890.0,20.200000000000003,38.559999999999995,118.83999999999999,15.36
70,1007.0,"Cheese, camembert",9041.0,"Bananas, dehydrated, or banana powder",11081.0,"Beets, cooked, boiled, drained",11122.0,"Cardoon, raw",9258.0,"Pears, canned, extra heavy syrup pack, solids and liquids",804.0,26.26,26.48,128.01999999999998,55.72
71,1114.0,"Whey, sweet, fluid",18390.0,"Pancakes, buttermilk, prepared from recipe",18141.0,"Cake, yellow, commercially prepared, with vanilla frosting",11233.0,"Kale, raw",9301.0,"Rambutan, canned, syrup pack",776.0,15.570000000000002,28.71,119.66,49.19
72,17391.0,"Lamb, New Zealand, imported, hind-shank, separable lean only, raw",18237.0,"Cream puff shell, prepared from recipe",28211.0,"MURRAY, Chocolatey Chip Thins Cookies",11563.0,"Tree fern, cooked, without salt",9150.0,"Lemons, raw, without peel",1012.0,37.89,46.019999999999996,117.43,26.13
73,23455.0,"Beef, New Zealand, imported, cube roll, separable lean and fat, raw",28191.0,"KELLOGG'S, SPECIAL K, Savory Herb Crackers",9073.0,"Cherries, sweet, canned, light syrup pack, solids and liquids",11497.0,"Succotash, (corn and limas), canned, with cream style corn",9150.0,"Lemons, raw, without peel",804.0,33.47,27.299999999999997,119.33000000000001,28.89
74,15192.0,"Fish, cod, Pacific, cooked, dry heat",31028.0,"Potatoes, yellow fleshed, hash brown, shredded, salt added in processing, frozen, unprepared",11643.0,"Squash, winter, all varieties, raw",11850.0,"Radishes, oriental, cooked, boiled, drained, with salt",9258.0,"Pears, canned, extra heavy syrup pack, solids and liquids",314.0,22.580000000000002,1.07,55.25,4.26
75,10931.0,"Pork, cured, ham, rump, bone-in, separable lean only, heated, roasted",11497.0,"Succotash, (corn and limas), canned, with cream style corn",11567.0,"Turnips, frozen, cooked, boiled, drained, without salt",11563.0,"Tree fern, cooked, without salt",9270.0,"Pineapple, canned, heavy syrup pack, solids and liquids",350.0,30.830000000000002,4.029999999999999,53.82000000000001,19.93
76,10904.0,"Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, unheated",11791.0,"Kale, frozen, cooked, boiled, drained, with salt",28253.0,"SUNSHINE, CHEEZ-IT, Snack Mix",11943.0,"Pimento, canned",9056.0,"Boysenberries, canned, heavy syrup",779.0,33.63,29.37,99.77,6.68
77,5190.0,"Turkey, all classes, back, meat and skin, cooked, roasted",11407.0,"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, oven-heated",11253.0,"Lettuce, green leaf, raw",11756.0,"Cardoon, cooked, boiled, drained, with salt",9211.0,"Orange juice, chilled, includes from concentrate, with added calcium",544.0,32.83,22.959999999999997,53.06999999999999,9.09
78,10904.0,"Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, unheated",11362.0,"Potatoes, raw, skin",28001.0,"KELLOGG'S, EGGO, NUTRI-GRAIN Frozen Fruit Pizza, Mixed Berry Granola",11487.0,"Squash, winter, butternut, frozen, unprepared",9309.0,"Rhubarb, frozen, uncooked",595.0,30.980000000000004,21.97,73.77999999999999,15.86
79,17195.0,"Lamb, variety meats and by-products, kidneys, raw",11378.0,"Potatoes, mashed, dehydrated, flakes without milk, dry form",18148.0,"Cheesecake prepared from mix, no-bake type",11170.0,"Corn, sweet, yellow, canned, brine pack, regular pack, solids and liquids",9106.0,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",874.0,31.859999999999996,16.889999999999997,154.12,6.1899999999999995
80,5661.0,"Chicken, liver, all classes, cooked, pan-fried",11927.0,"Mountain yam, hawaii, cooked, steamed, with salt",28234.0,"SUNSHINE, CHEEZ-IT, Asiago Crackers",11766.0,"Chayote, fruit, cooked, boiled, drained, with salt",9174.0,"Loquats, raw",825.0,37.26,31.89,100.34,1.3
81,23296.0,"Beef, Australian, grass-fed,  external fat, raw",42136.0,"Cream substitute, powdered, light",11906.0,"Corn, sweet, white, canned, cream style, regular pack",11174.0,"Corn, sweet, yellow, canned, cream style, regular pack",9362.0,"Cherries, sour, canned, water pack, drained",1128.0,17.39,68.11,120.99000000000001,85.83
