,DEP ID,DEP Descrip,BC ID,BC Descrip,FFC ID,FFC Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g
30,1130.0,"Egg, whole, cooked, omelet",28216.0,"MURRAY, Old Fashioned Iced Oatmeal Cookies",9452.0,Orange Pineapple Juice Blend,664.0,15.98,29.24,83.84,43.38
31,1116.0,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",18050.0,"Bread, reduced-calorie, oat bran, toasted",9322.0,"Tamarinds, raw",539.0,15.77,7.6499999999999995,116.36,47.66
32,43274.0,"Cheese, cream, low fat",18271.0,"Ice cream cones, cake or wafer-type",9041.0,"Bananas, dehydrated, or banana powder",964.0,19.84,23.99,175.41,59.12
33,1081.0,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",18156.0,"Cookies, fudge, cake-type (includes trolley cakes)",9149.0,"Kumquats, raw",476.0,10.829999999999998,6.54,99.69,14.62
34,1281.0,"Yogurt, Greek, non fat, strawberry, CHOBANI",18288.0,"Pancakes plain, frozen, ready-to-heat (includes buttermilk)",9252.0,"Pears, raw",370.0,13.62,7.09,64.6,28.93
35,1226.0,"Egg substitute, liquid or frozen, fat free",18345.0,"Rolls, dinner, oat bran",9144.0,"Jackfruit, raw",379.0,21.22,5.239999999999999,65.45,27.75
36,1035.0,"Cheese, provolone",18345.0,"Rolls, dinner, oat bran",9149.0,"Kumquats, raw",658.0,36.96,32.08,58.24,16.59
37,1184.0,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",8668.0,"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Nutty Clusters & Almonds",9309.0,"Rhubarb, frozen, uncooked",412.0,12.31,7.09,92.1,30.700000000000003
38,1250.0,"Nutritional supplement for people with diabetes, liquid",18150.0,"Cookies, animal crackers (includes arrowroot, tea biscuits)",9229.0,"Papaya nectar, canned",591.0,11.47,17.03,100.49,39.85
39,1186.0,"Cheese, cream, fat free",18176.0,"Cookies, marshmallow, chocolate-coated (includes marshmallow pies)",9149.0,"Kumquats, raw",597.0,21.569999999999997,18.759999999999998,91.26,59.64
40,1001.0,"Butter, salted",8506.0,"Cereals ready-to-eat, RALSTON Corn Flakes",9124.0,"Grapefruit juice, white, canned, sweetened",1120.0,7.33,82.11,99.2,18.93
41,1237.0,"Ice cream, bar or stick, chocolate covered",8451.0,"Cereals, QUAKER, Quick Oats with Iron, Dry",9252.0,"Pears, raw",759.0,18.159999999999997,31.110000000000003,107.91000000000001,29.47
42,1254.0,"Cheese food, pasteurized process, American, without added vitamin D",8695.0,"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED MINI-WHEATS, little bites",9507.0,"Juice Smoothie, NAKED JUICE, MIGHTY MANGO",744.0,26.47,27.33,107.86,38.29
43,1096.0,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",18420.0,"Cake, yellow, dry mix, regular, unenriched",9270.0,"Pineapple, canned, heavy syrup pack, solids and liquids",644.0,11.56,19.27,108.33999999999999,26.939999999999998
44,1254.0,"Cheese food, pasteurized process, American, without added vitamin D",28000.0,"KELLOGG'S, EGGO, Mini Muffin Tops, Chocolate Chip",9286.0,"Pomegranates, raw",713.0,23.729999999999997,38.0,72.26,37.76
45,1001.0,"Butter, salted",18476.0,"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Blueberry",9452.0,Orange Pineapple Juice Blend,1180.0,5.859999999999999,94.49,80.67,41.53
46,1059.0,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",8616.0,"Cereals ready-to-eat, KELLOGG's FROSTED MINI-WHEATS Bite Size Cinnamon Streusel",9415.0,"Pears, raw, green anjou",478.0,12.57,5.16,105.13,32.230000000000004
47,1096.0,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",18476.0,"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Blueberry",9503.0,"Apples, raw, gala, with skin",603.0,11.66,20.98,92.13,51.309999999999995
48,1071.0,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",18374.0,"Leavening agents, yeast, baker's, compressed",9316.0,"Strawberries, raw",331.0,12.68,14.920000000000002,42.910000000000004,22.02
49,43543.0,"Milk, imitation, non-soy",18335.0,"Pie crust, standard-type, frozen, ready-to-bake, enriched, baked",9106.0,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",642.0,8.43,30.65,84.31,9.530000000000001
50,1116.0,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",18310.0,"Pie, chocolate creme, commercially prepared",9013.0,"Apples, dried, sulfured, stewed, with added sugar",497.0,7.820000000000001,25.73,63.83,32.05
51,1071.0,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",28248.0,"SUNSHINE, CHEEZ-IT, Pepper Jack Crackers",9226.0,"Papayas, raw",740.0,12.88,37.98,89.85,25.75
52,1096.0,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",8143.0,"Cereals, WHEATENA, cooked with water",9226.0,"Papayas, raw",233.0,9.28,8.319999999999999,32.66,17.86
53,1227.0,"Cheese, dry white, queso seco",8560.0,"Cereals ready-to-eat, KASHI GO LEAN CRUNCH!, Honey Almond Flax",9133.0,"Grapes, canned, thompson seedless, water pack, solids and liquids",744.0,41.8,34.36,79.24000000000001,32.45
54,1223.0,"Protein supplement, milk based, Muscle Milk, powder",28074.0,"KEEBLER, E.L. FUDGE, Butter Flavored Cookies",9420.0,"Jackfruit, canned, syrup pack",985.0,51.57,37.78,112.44,39.61
55,1260.0,"Cheese, cheddar, reduced fat",8100.0,"Cereals, CREAM OF RICE, dry",9144.0,"Jackfruit, raw",774.0,35.37,21.55,109.71000000000001,19.639999999999997
56,1281.0,"Yogurt, Greek, non fat, strawberry, CHOBANI",18481.0,"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted cherry",9293.0,"Plums, dried (prunes), stewed, with added sugar",601.0,13.32,10.54,116.5,46.86
57,1179.0,"Sour cream, light",28208.0,"MOTHER'S, Peanut Butter Gauchos Cookies",9195.0,"Olives, pickled, canned or bottled, green",763.0,11.93,47.92,76.64,33.059999999999995
58,1019.0,"Cheese, feta",18059.0,"Bread, rice bran",9272.0,"Pineapple, frozen, chunks, sweetened",593.0,23.509999999999998,25.980000000000004,69.79,29.86
59,1014.0,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",8493.0,"Cereals ready-to-eat, MALT-O-MEAL, Apple ZINGS",9325.0,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",551.0,15.379999999999999,2.96,112.53,49.03
60,1006.0,"Cheese, brie",18403.0,"Waffles, plain, frozen, ready -to-heat, toasted",9011.0,"Apples, dried, sulfured, uncooked",889.0,28.87,37.61,115.63,62.66
61,1184.0,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",18248.0,"Doughnuts, cake-type, plain (includes unsugared, old-fashioned)",9514.0,"Juice Smoothie, BOLTHOUSE FARMS, BERRY BOOST",523.0,9.8,25.13,65.46000000000001,34.95
62,1217.0,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D",18032.0,"Bread, irish soda, prepared from recipe",9507.0,"Juice Smoothie, NAKED JUICE, MIGHTY MANGO",455.0,11.389999999999999,6.08,90.05,31.55
63,1077.0,"Milk, whole, 3.25% milkfat, with added vitamin D",18949.0,"Crackers, whole-wheat, reduced fat",9452.0,Orange Pineapple Juice Blend,528.0,14.9,10.92,92.52,16.84
64,1031.0,"Cheese, neufchatel",18420.0,"Cake, yellow, dry mix, regular, unenriched",9119.0,"Grapefruit, sections, canned, water pack, solids and liquids",721.0,14.13,34.480000000000004,90.84,11.94
65,1215.0,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",28095.0,"KEEBLER, FUDGE SHOPPE, Jumbo Fudge Sticks, Peanut Butter",9073.0,"Cherries, sweet, canned, light syrup pack, solids and liquids",844.0,25.310000000000002,44.449999999999996,88.49000000000001,64.60999999999999
66,1281.0,"Yogurt, Greek, non fat, strawberry, CHOBANI",28032.0,"GIRL SCOUTS, Samoas Cookies",9150.0,"Lemons, raw, without peel",598.0,12.629999999999999,26.220000000000002,85.03999999999999,49.16
67,1046.0,"Cheese food, pasteurized process, American, vitamin D fortified",8143.0,"Cereals, WHEATENA, cooked with water",9183.0,"Melons, casaba, raw",414.0,19.97,26.23,26.939999999999998,11.280000000000001
68,1179.0,"Sour cream, light",8182.0,"Cereals, WHEATENA, cooked with water, with salt",9503.0,"Apples, raw, gala, with skin",252.0,5.779999999999999,11.169999999999998,32.519999999999996,10.84
69,1193.0,KRAFT BREAKSTONE'S Reduced Fat Sour Cream,18314.0,"Pie, coconut cream, prepared from mix, no-bake type",9028.0,"Apricots, canned, heavy syrup pack, without skin, solids and liquids",511.0,7.81,29.69,56.45,6.4
70,1281.0,"Yogurt, Greek, non fat, strawberry, CHOBANI",18314.0,"Pie, coconut cream, prepared from mix, no-bake type",9258.0,"Pears, canned, extra heavy syrup pack, solids and liquids",453.0,11.019999999999998,17.85,65.37,10.86
71,1018.0,"Cheese, edam",28152.0,"KEEBLER, Vanilla Wafers Minis, Rainbow",9452.0,Orange Pineapple Juice Blend,874.0,29.4,46.18,85.93,43.1
72,1186.0,"Cheese, cream, fat free",18002.0,"Bagels, plain, toasted, enriched, with calcium propionate (includes onion, poppy, sesame)",9452.0,Orange Pineapple Juice Blend,444.0,27.24,2.8,76.97,21.87
73,42303.0,"Cheese, muenster, low fat",18974.0,"KASHI, TLC, Honey Sesame Crackers",9452.0,Orange Pineapple Juice Blend,720.0,33.809999999999995,28.08,87.9,30.17
74,1001.0,"Butter, salted",8567.0,"Cereals ready-to-eat, KASHI 7 Whole Grain Nuggets",9271.0,"Pineapple, canned, extra heavy syrup pack, solids and liquids",1156.0,12.99,84.02,102.56,5.06
75,1259.0,"Cheese spread, American or Cheddar cheese base, reduced fat",18156.0,"Cookies, fudge, cake-type (includes trolley cakes)",9507.0,"Juice Smoothie, NAKED JUICE, MIGHTY MANGO",588.0,18.830000000000002,12.580000000000002,104.00999999999999,19.56
76,1229.0,"Cheese, white, queso blanco",28186.0,"KELLOGG'S, SPECIAL K, Cracker Chips, Cheddar",9420.0,"Jackfruit, canned, syrup pack",784.0,27.14,33.85,100.17,6.06
77,1186.0,"Cheese, cream, fat free",28187.0,"KELLOGG'S, SPECIAL K, Cracker Chips, Sea Salt",9452.0,Orange Pineapple Juice Blend,517.0,22.9,8.68,95.26,16.65
78,1130.0,"Egg, whole, cooked, omelet",18939.0,"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",9383.0,"Tangerines, (mandarin oranges), canned, juice pack, drained",601.0,16.02,22.729999999999997,82.75,37.55
79,42136.0,"Cream substitute, powdered, light",18177.0,"Cookies, molasses",9325.0,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",947.0,7.91,28.6,169.56,91.0
80,1227.0,"Cheese, dry white, queso seco",28006.0,"KELLOGG'S, CINNABON, Pancakes, Original",9144.0,"Jackfruit, raw",678.0,31.23,32.690000000000005,68.39,34.53
81,1179.0,"Sour cream, light",8615.0,"Cereals ready-to-eat, KELLOGG'S CRUNCHY NUT Golden Honey Nut flakes",9517.0,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",569.0,10.319999999999999,14.67,101.88999999999999,43.19
82,1018.0,"Cheese, edam",18064.0,"Bread, wheat",9252.0,"Pears, raw",681.0,36.07,31.18,65.34,17.09
83,1227.0,"Cheese, dry white, queso seco",18970.0,"Tortillas, ready-to-bake or -fry, flour, shelf stable",9148.0,"Kiwifruit, green, raw",683.0,33.660000000000004,32.45,65.97,12.2
84,1226.0,"Egg substitute, liquid or frozen, fat free",28079.0,"KEEBLER, FUDGE SHOPPE, Coconut Dreams Cookies",9147.0,"Jujube, dried",834.0,17.2,29.1,137.0,36.5
85,1114.0,"Whey, sweet, fluid",28095.0,"KEEBLER, FUDGE SHOPPE, Jumbo Fudge Sticks, Peanut Butter",9028.0,"Apricots, canned, heavy syrup pack, without skin, solids and liquids",647.0,8.459999999999999,30.65,87.19,45.94
86,1070.0,"Dessert topping, powdered",18141.0,"Cake, yellow, commercially prepared, with vanilla frosting",9503.0,"Apples, raw, gala, with skin",1025.0,8.14,57.949999999999996,122.42000000000002,104.7
87,1043.0,"Cheese, pasteurized process, pimento",28302.0,"Cookies, graham crackers, plain or honey, lowfat",9148.0,"Kiwifruit, green, raw",822.0,28.98,37.43,94.35,32.47
88,42303.0,"Cheese, muenster, low fat",28032.0,"GIRL SCOUTS, Samoas Cookies",9135.0,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",820.0,28.57,43.53000000000001,82.36999999999999,53.5
89,1097.0,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",8668.0,"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Nutty Clusters & Almonds",9149.0,"Kumquats, raw",497.0,17.33,7.86,106.75,42.81
90,1186.0,"Cheese, cream, fat free",18630.0,"PILLSBURY, Chocolate Chip Cookies, refrigerated dough",9258.0,"Pears, canned, extra heavy syrup pack, solids and liquids",652.0,19.7,22.39,93.66,43.150000000000006
91,42303.0,"Cheese, muenster, low fat",8087.0,"Cereals ready-to-eat, GENERAL MILLS, Multi-Grain Cheerios",9286.0,"Pomegranates, raw",724.0,34.67,22.86,103.60000000000001,38.37
92,43276.0,"Cheese spread, cream cheese base",8560.0,"Cereals ready-to-eat, KASHI GO LEAN CRUNCH!, Honey Almond Flax",9056.0,"Boysenberries, canned, heavy syrup",762.0,24.88,38.62,92.71000000000001,25.7
93,1114.0,"Whey, sweet, fluid",18225.0,"Crackers, rye, sandwich-type with cheese filling",9195.0,"Olives, pickled, canned or bottled, green",653.0,11.079999999999998,37.980000000000004,69.78,5.68
94,1019.0,"Cheese, feta",18241.0,"Croissants, cheese",9415.0,"Pears, raw, green anjou",744.0,23.85,42.28,66.88,25.17
95,42303.0,"Cheese, muenster, low fat",28274.0,"MURRAY, Honey Graham",9135.0,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",776.0,30.970000000000002,30.93,93.97,39.7
96,1260.0,"Cheese, cheddar, reduced fat",8506.0,"Cereals ready-to-eat, RALSTON Corn Flakes",9517.0,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",714.0,33.37,21.490000000000002,103.56,17.57
97,1281.0,"Yogurt, Greek, non fat, strawberry, CHOBANI",18278.0,"Muffins, blueberry, prepared from recipe, made with low fat (2%) milk",9013.0,"Apples, dried, sulfured, stewed, with added sugar",448.0,14.729999999999999,10.99,73.05,10.86
98,1266.0,"Cheese, Swiss, nonfat or fat free",8693.0,"Cereals, QUAKER, oatmeal, REAL MEDLEYS, cherry pistachio, dry",9073.0,"Cherries, sweet, canned, light syrup pack, solids and liquids",588.0,41.03,11.17,87.42000000000002,43.46
99,43276.0,"Cheese spread, cream cheese base",8646.0,"Cereals ready-to-eat, BEAR NAKED Nut Cluster Crunch, maple pecan walnut",9147.0,"Jujube, dried",956.0,19.3,33.2,160.19,26.1
100,1059.0,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",8087.0,"Cereals ready-to-eat, GENERAL MILLS, Multi-Grain Cheerios",9507.0,"Juice Smoothie, NAKED JUICE, MIGHTY MANGO",496.0,12.05,7.55,101.14,33.7
101,1186.0,"Cheese, cream, fat free",18310.0,"Pie, chocolate creme, commercially prepared",9226.0,"Papayas, raw",501.0,20.31,23.67,56.919999999999995,40.690000000000005
102,1260.0,"Cheese, cheddar, reduced fat",8693.0,"Cereals, QUAKER, oatmeal, REAL MEDLEYS, cherry pistachio, dry",9325.0,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",789.0,39.78,31.53,93.15,26.6
103,43543.0,"Milk, imitation, non-soy",28293.0,"Cookie, butter or sugar, with chocolate icing or filling",9011.0,"Apples, dried, sulfured, uncooked",792.0,6.629999999999999,25.82,140.01999999999998,96.28999999999999
104,42258.0,"Cheese product, pasteurized process, cheddar, reduced fat",8130.0,"Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, dry",9133.0,"Grapes, canned, thompson seedless, water pack, solids and liquids",648.0,27.3,18.84,97.80999999999999,47.739999999999995
105,1219.0,"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",8123.0,"Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)",9150.0,"Lemons, raw, without peel",202.0,8.33,3.07,39.59,5.859999999999999
106,1186.0,"Cheese, cream, fat free",18243.0,"Croutons, seasoned",9120.0,"Grapefruit, sections, canned, juice pack, solids and liquids",607.0,27.19,19.39,80.37,18.69
107,1226.0,"Egg substitute, liquid or frozen, fat free",8352.0,"Cereals ready-to-eat, QUAKER, MOTHER'S Toasted Oat Bran cereal",9149.0,"Kumquats, raw",491.0,23.33,5.9,93.31,26.93
108,1130.0,"Egg, whole, cooked, omelet",18288.0,"Pancakes plain, frozen, ready-to-heat (includes buttermilk)",9028.0,"Apricots, canned, heavy syrup pack, without skin, solids and liquids",470.0,16.310000000000002,18.580000000000002,59.84,8.63
109,1179.0,"Sour cream, light",8037.0,"Cereals ready-to-eat, granola, homemade",9021.0,"Apricots, raw",673.0,19.75,35.05,71.47,29.46
110,1184.0,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",8013.0,"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS",9056.0,"Boysenberries, canned, heavy syrup",507.0,16.939999999999998,7.03,103.04,11.86
111,1129.0,"Egg, whole, cooked, hard-boiled",8121.0,"Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt",9073.0,"Cherries, sweet, canned, light syrup pack, solids and liquids",293.0,15.73,12.28,30.41,17.18
112,1182.0,"USDA Commodity, cheese, cheddar, reduced fat",18312.0,"Pie, chocolate mousse, prepared from mix, no-bake type",9147.0,"Jujube, dried",829.0,34.4,34.800000000000004,105.19999999999999,0.58
113,1200.0,Reddi Wip Fat Free Whipped Topping,28272.0,"MURRAY, Chocolate Creme Sandwich Cookies",9322.0,"Tamarinds, raw",861.0,10.7,25.0,158.8,93.19999999999999
114,1260.0,"Cheese, cheddar, reduced fat",28234.0,"SUNSHINE, CHEEZ-IT, Asiago Crackers",9028.0,"Apricots, canned, heavy syrup pack, without skin, solids and liquids",894.0,36.559999999999995,45.2,88.11,1.56
115,1226.0,"Egg substitute, liquid or frozen, fat free",18247.0,"Danish pastry, nut (includes almond, raisin nut, cinnamon nut)",9293.0,"Plums, dried (prunes), stewed, with added sugar",602.0,18.19,25.419999999999998,80.58000000000001,27.87
116,1237.0,"Ice cream, bar or stick, chocolate covered",8451.0,"Cereals, QUAKER, Quick Oats with Iron, Dry",9041.0,"Bananas, dehydrated, or banana powder",1048.0,21.689999999999998,32.78,180.96,67.02
117,1250.0,"Nutritional supplement for people with diabetes, liquid",28176.0,"KELLOGG'S, POP-TARTS, Frosted Wild Grape Toaster Pastries",9270.0,"Pineapple, canned, heavy syrup pack, solids and liquids",556.0,8.85,12.99,103.88,50.04
118,1077.0,"Milk, whole, 3.25% milkfat, with added vitamin D",18174.0,"Cookies, graham crackers, chocolate-coated",9237.0,"Peaches, canned, water pack, solids and liquids",585.0,7.590000000000001,29.11,77.69,47.16
119,1237.0,"Ice cream, bar or stick, chocolate covered",28091.0,"KEEBLER, FUDGE SHOPPE, Fudge Stripes, Oatmeal",9322.0,"Tamarinds, raw",1048.0,12.399999999999999,48.50000000000001,153.4,90.2
120,43543.0,"Milk, imitation, non-soy",28260.0,"KELLOGG'S, EGGO, Waffles, Chocolate Chip",9148.0,"Kiwifruit, green, raw",398.0,8.540000000000001,12.62,64.75999999999999,27.39
121,1226.0,"Egg substitute, liquid or frozen, fat free",28177.0,"KELLOGG'S, POP-TARTS, Frosted Wild Strawberry Toaster Pastries",9503.0,"Apples, raw, gala, with skin",496.0,14.15,9.819999999999999,87.78,42.97
122,43276.0,"Cheese spread, cream cheese base",8244.0,"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE Bran Cereal",9056.0,"Boysenberries, canned, heavy syrup",583.0,14.78,30.92,110.4,3.69
123,1059.0,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",28234.0,"SUNSHINE, CHEEZ-IT, Asiago Crackers",9252.0,"Pears, raw",622.0,12.389999999999999,28.3,82.57000000000001,11.05
124,1266.0,"Cheese, Swiss, nonfat or fat free",8678.0,"Cereals ready-to-eat, GENERAL MILLS, Apple Cinnamon CHEX",9445.0,"Kiwifruit, gold, raw",595.0,34.31999999999999,7.01,100.43,38.31
125,1226.0,"Egg substitute, liquid or frozen, fat free",18241.0,"Croissants, cheese",9362.0,"Cherries, sour, canned, water pack, drained",504.0,19.89,21.11,59.45,20.34
